tx_hash,block_number,timestamp,from_address,to_address,value_eth,gas_price_gwei,gas_used,tx_fee_eth,is_contract_interaction,input_data_length,nonce,fraud_type,is_fraud
0x634bdca1417fa8327a874d48a03ae63f98ea3eba4451db3becd61e601d7513d8,18008142,2024-05-29T18:01:47,0x0955d96be0310a3d603e84cca2e887b4116dc837,0x33e3f996588677ce376555d9705c6a4e0783924e,0.115695,12.26,64415,0.00078975,True,0,4270,normal,0
0x4dd08c26d0f7365df05fe11d426b2412232af28c5d790229e274fb9014013b99,18001326,2024-03-06T22:09:44,0xa94b97e5d5a73cb02f8c98fbc62a1f729f69d33d,0x8d61c59accd90a8851bc7c24ce4d05b02a4f70cd,0.089905,28.56,50144,0.00143207,True,0,3480,normal,0
0x3b642bf04fb6df98c83026e776e79603791be83a34981d4d944e59f70c0a7dfe,18401702,2024-09-29T02:00:00,0x815be7fbfca8dc5a60d5985a7157f24bc527e682,0x08eb8f720ae5507559fabc1d8ec709b9afd308ab,0.003009,108.6,47187,0.00512449,True,300,5,phishing,1
0xca18bded155883ee9263f408eee4eef139bc75b3cb6be406628cd400fff65fda,18011652,2024-11-12T09:25:48,0x81bc89bac85072251ca77641bf0b6e9f61aad54f,0x1fe2de3ac63cab6d1e6d3392b40fea0e1c8fd3ee,0.31238,30.34,64666,0.00196221,False,200,2235,normal,0
0x8082bb888d271b100aad33de2e3a29922dadfc5145207b4c7c5e76f539646ad2,18003060,2024-11-26T22:50:47,0xde5c6044071daeda338e6c198d13bc628ba51594,0x3217c220930cc65dd00771a6f72fae43876c28e3,0.12976,25.91,75124,0.00194625,False,136,2323,normal,0
0xe0943596c68467d81bf3374940868e59360540f72b175a84d9f7fd4b8873c00d,18005888,2024-12-02T12:14:36,0x0e72efc71112c315a5d5671acb9153fa67200f9c,0x0f37dd621a28add2c82a5b0ee4237a7e91389d52,0.59815,18.52,89566,0.00165904,False,0,1849,normal,0
0x6326a7da56ef9c2b6f6bb0478510a42605d9a1f375a334f99a5d6f459e98d1f9,18403306,2024-06-22T06:00:00,0x102e16d454e031912127f5c9e9651692338d223e,0xbee48ff744617d4c487b0851d9eac9a07498385a,0.004391,103.21,39981,0.00412663,True,332,2,phishing,1
0x9d0e6337ddf032fda18a7116a83d771fd61330a5877a4f9d8236878b04f0346f,18005220,2024-08-17T13:45:31,0xb382eee8a1e927eea2662029fa1145c2a37c7552,0x9bdc8d31b705964cdadc41832279716dde26f21f,5.350353,30.13,37564,0.00113197,False,200,178,normal,0
0x5556a63b59e0e67365c616c610e705f5c89bd86fd6a6fa228a4aa9e5e82a7b7e,18202404,2024-08-08T00:04:00,0x39fa52d58dd0010256e38049292750ad2609fc29,0xd5ab9989d9596cae7331ca818e04ad26a85d7ce1,141.819877,71.03,152105,0.01080474,True,200,398,wash_trading,1
0xacd8fd2645166c834deb07cc1cc09fa5908e4052f3f1d5b9cffb31d91f156ea1,18402605,2024-10-19T05:00:00,0x184d9a1674f1334a899396062a7ded483cbb3c12,0x7714b76b0780850b0dec495afddcd4c3062e96cb,0.002114,112.13,42836,0.00480329,True,332,3,phishing,1
0xf3d0ea07f5fb0ff5a80a9a5aeb664500ab66951586c675bbbf8616f471c521ef,18014035,2024-06-09T22:02:32,0x695aaf3e042fc213b2e8b79b301e8b602c65c438,0x03970b6d7587b4c1f77ae7e07bd681aa293dd078,0.170933,5.0,91540,0.0004577,False,136,4000,normal,0
0xdd48b6c4808756a280d3895133ef0986e92c02e79420817084a3083f28ba4f55,18005940,2024-05-29T23:34:59,0x8ef9d6b2d1d09330e3c4b6191ffaa39ecc4f48a8,0x5f21adf16d1e9f85b13a83fbef28b3bacc93b886,0.050726,37.71,65781,0.00248087,True,136,3051,normal,0
